Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
Calida Holding AG,Calida Holding AG,Kellenberger Family (Private Individual),21.00,07/08/2024,13/09/2024,21.00,0.7x,12.7x,-,"Target Description: Wholesaler of refurbished phones, hardware such as smart phones and mobile accessories. | Deal Description: Northbaze Group AB, the Sweden based developer and manufacturer of products within the audio, IT and mobile accessories areas has acquired Enter Sales & Distribution AB, the local wholesaler of refurbished phones, hardware such as smart phones and mobile accessories from Edvard Berglund Holding Stockholm AB, the local investment holding company. The consideration was SEK 41.6494m ($4.079m), which consist of SEK 36.6494m ($3.589m) paid in common shares, SEK 5m ($0.49m) paid in earnout."
PetIQ Inc,Bansk Group LLP,,"1,306.96",07/08/2024,25/10/2024,"1,306.96",1.3x,14.9x,23.9x,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
G1 Therapeutics Inc,"Pharmacosmos A/S
Pharmacosmos Therapeutics Inc",,370.73,07/08/2024,18/09/2024,370.73,4.6x,-,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
Calida Holding AG,Calida Holding AG,,25.15,07/08/2024,13/09/2024,25.15,0.9x,16.6x,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
SOMACIS SpA,"Bain Capital LP
Chequers Capital
Existing Management",Chequers Capital,735.00,07/08/2024,26/11/2024,735.00,4.1x,14.7x,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
Govtech Holdings Ltd,Netcall plc,,15.13,07/08/2024,07/08/2024,15.13,3.7x,16.5x,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
Seres Therapeutics Inc,"Nestle SA
Nestle Health Science SA",,13.72,06/08/2024,30/09/2024,13.72,2.2x,-,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
Guild Esports plc,DCB Sports LLC,,4.51,05/08/2024,16/10/2024,4.51,1.0x,-,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
EV Holdings Ltd,Enersol RSC Ltd,Dunedin Capital Partners Ltd,41.11,05/08/2024,29/11/2024,41.11,1.5x,-,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
Difuzed BV,Mainland Headwear Holdings Ltd,,5.00,05/08/2024,,5.00,0.3x,-,-,"Target Description: Manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. | Deal Description: Bansk Group LLP, the private equity firm focused on consumer buyouts and growth investing is to acquire PetIQ Inc, the United States based manufacturer and distributor of veterinarian-grade pet prescription medications, over-the-counter flea and tick preventatives and health and wellness products for dogs and cats. The consideration was $988.0564m based on the cash offer price of $31 per share. The deal value including net debt is $1.427bn. Completion of the transaction is subject to approval of PetIQ stockholders and expiration or termination of the applicable waiting period under the Hart-Scott-Rodino Antitrust Improvements Act of 1976. The transaction is expected to close in the fourth quarter of 2024. Upon completion of the proposed transaction, PetIQ’s common stock will be delisted from the NASDAQ Stock Market, and PetIQ will be privately held. 23 Oct 24- Approximately 80%PetIQ stockholders approve proposed takeover by Bansk Group. 25 Oct 24 - The transaction has been completed."
PetIQ Inc,Bansk Group LLP,,"1,306.96",07/08/2024,25/10/2024,"1,306.96",1.3x,14.9x,23.9x,
G1 Therapeutics Inc,"Pharmacosmos A/S
Pharmacosmos Therapeutics Inc",,370.73,07/08/2024,18/09/2024,370.73,4.6x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Calida Holding AG,Calida Holding AG,,25.15,07/08/2024,13/09/2024,25.15,0.9x,16.6x,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
SOMACIS SpA,"Bain Capital LP
Chequers Capital
Existing Management",Chequers Capital,735.00,07/08/2024,26/11/2024,735.00,4.1x,14.7x,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Govtech Holdings Ltd,Netcall plc,,15.13,07/08/2024,07/08/2024,15.13,3.7x,16.5x,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Seres Therapeutics Inc,"Nestle SA
Nestle Health Science SA",,13.72,06/08/2024,30/09/2024,13.72,2.2x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Guild Esports plc,DCB Sports LLC,,4.51,05/08/2024,16/10/2024,4.51,1.0x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
EV Holdings Ltd,Enersol RSC Ltd,Dunedin Capital Partners Ltd,41.11,05/08/2024,29/11/2024,41.11,1.5x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Difuzed BV,Mainland Headwear Holdings Ltd,,5.00,05/08/2024,,5.00,0.3x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Thoughtworks Holding Inc,Apax Partners LLP,,896.43,05/08/2024,13/11/2024,896.43,2.3x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Galderma Group AG,L'Oreal SA,"Abu Dhabi Investment Authority Ltd-ADIA
EQT Partners AB
Auba Investment Pte Ltd","1,715.00",05/08/2024,13/08/2024,"1,715.00",5.0x,24.7x,34.3x,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
VBare Iberian Properties SOCIMI SA,ADVERO Properties Socimi SA,,53.92,02/08/2024,,53.92,19.4x,60.5x,61.8x,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
SCHMALZ+SCHOEN Holding GmbH,"NTG Nordic Transport Group A/S
NTG Germany GmbH",,44.10,02/08/2024,01/10/2024,44.10,0.3x,-,4.2x,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Vector Capital plc,Vector Capital plc,,4.06,02/08/2024,06/09/2024,4.06,5.9x,8.8x,8.8x,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Nobis Compagnia di Assicurazioni SpA,AXA SA,,478.00,01/08/2024,,478.00,1.0x,-,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
Fox Crypto BV,CR Group Nordic AB,NCC Group plc,77.00,01/08/2024,,77.00,3.6x,16.3x,-,"Target Description: Clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. | Deal Description: 07 Aug 24 - Pharmacosmos A/S, the Denmark based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications through its subsidiary Pharmacosmos Therapeutics Inc, the United States based pharmaceutical company engaged in manufacturing and development of Dextran and Iron Dextran compounds for human and veterinary applications is to acquire G1 Therapeutics Inc, the United States based clinical-stage biopharmaceutical company focused on the discovery, development and commercialization of novel small molecule therapeutics for the treatment of patients with cancer. The consideration was $404.8346m based on cash offer price of $7.15 per share. The transaction will be subject to customary conditions, including the tender of shares which represent at least a majority of the total number of G1’s outstanding shares of common stock and the expiration of the waiting period under the Hart-Scott-Rodino Antitrust Improvements Act. The transaction will close late in the third quarter of 2024. 18 Sep 24 - At the expiration date of the offer on 17 September 2024, 39,486,447 shares or 74.64% of the shareholders of G1 Therapeutics Inc have accepted the offer and the remaining shares that had not been validly tendered were converted into the right to receive an amount in cash equal to the offer price. The transaction is completed."
