Fonds,Pays / Info,Secteurs,Position,Véhicules,Catégorie,Géographie d'investissement,HQ,Bureaux,"Ticket 
(m€)","Ticket Min 
(m€)","Ticket Max
(m€)",Type d'investissement,Contact,Contact qualifié (Oui/Non),Appétence pour secteur,Thèse d'investissement (VE/EBITDA cible),Approché dans Opérations D&A ,Sources,Plaquette ,Commentaires
Etats-Unis - PE specialist,Tous secteurs,"KELSO & COMPANY |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  40 - 500 M€    VE:  200 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Autriche - PE specialist,"Services aux Particuliers / Entreprises, , , , , ","ACCESSION CAPITAL PARTNERS (ACP) |  Autriche - PE specialist 1 (Minoritaire, Majoritaire, Mezzanine) Ticket unitaire:  5 - 50 M€    VE:  50 - 250 M€ Secteur:  Services aux Particuliers / Entreprises    Distribution aux Particuliers / Entreprises    Santé    Services Financiers    Industrie    Technologie Zones géographiques:  Europe Centrale et de l'Est",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,OPENGATE CAPITAL |  Etats-Unis - PE specialist 1 (Retournement) Ticket unitaire:  5 - 70 M€    VE:  2 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"GRAPHITE CAPITAL MANAGEMENT |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 90 M€    VE:  30 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Royaume-Uni",,,,,,,,,,,,,,,,,,
Allemagne - Family Office,Tous secteurs,"BREGAL UNTERNEHMERKAPITAL |  Allemagne - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 500 M€    VE:  10 - 1 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,WISE EQUITY |  Italie - PE specialist 1 (Majoritaire) Ticket unitaire:  10 - 100 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Italie,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,"Tous secteurs, Tous secteurs","PORTOBELLO CAPITAL |  Espagne - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 100 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe du Sud 2 (Minoritaire) Ticket unitaire:  10 - 100 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe du Sud",,,,,,,,,,,,,,,,,,
Angleterre - Family Office,"Services aux Particuliers / Entreprises, , , , Services aux Particuliers / Entreprises, , , ",PERWYN |  Angleterre - Family Office 1 (Majoritaire) Ticket unitaire:  25 - 250 M€    VE:  100 - 600 M€ Secteur:  Services aux Particuliers / Entreprises    Agroalimentaire    Santé    Technologie Zones géographiques:  Royaume-Uni 2 (Venture (Growth)) Ticket unitaire:  25 - 100 M€    VE:  0 - 0 M€ Secteur:  Services aux Particuliers / Entreprises    Agroalimentaire    Santé    Technologie Zones géographiques:  Royaume-Uni    Europe de l'Ouest,,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,"Telecom, Technologie, Telecom, Technologie",PRIDE CAPITAL PARTNERS |  Pays-Bas - PE specialist 1 (Minoritaire) Ticket unitaire:  2 - 20 M€    VE:  3 - 100 M€ Secteur:  Telecom    Technologie Zones géographiques:  Benelux    DACH    Scandinavie 2 (Mezzanine) Ticket unitaire:  2 - 20 M€    VE:  3 - 100 M€ Secteur:  Telecom    Technologie Zones géographiques:  Benelux    DACH    Scandinavie,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"WIND POINT PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  50 - 100 M€    VE:  80 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - Family Office,Tous secteurs,BRATENAHL CAPITAL PARTNERS |  Etats-Unis - Family Office 1 (Minoritaire) Ticket unitaire:  1 - 15 M€    VE:  10 - 80 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, , ","STG PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 150 M€    VE:  150 - 800 M€ Secteur:  Services aux Particuliers / Entreprises    Internet et e-commerce    Technologie Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"MERIT CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 40 M€    VE:  40 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Services aux Particuliers / Entreprises, ","INCLINE EQUITY PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 450 M€    VE:  20 - 700 M€ Secteur:  Services aux Particuliers / Entreprises    Distribution aux Particuliers / Entreprises Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"ALPINE INVESTORS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 35 M€    VE:  5 - 350 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,"Tous secteurs, Tous secteurs","HAL INVESTMENTS |  Pays-Bas - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 100 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest 2 (Minoritaire, Majoritaire) Ticket unitaire:  100 - 1 000 M€    VE:  500 - 3 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"LT CAPITAL |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  3 - 15 M€    VE:  5 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Luxembourg - Family Office,Tous secteurs,APHEON (EX ERGON CAPITAL PARTNERS) |  Luxembourg - Family Office 1 (Majoritaire) Ticket unitaire:  35 - 75 M€    VE:  50 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest,,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"QUALIUM INVESTISSEMENT |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 75 M€    VE:  40 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Santé, BTP / Construction, , , , , , , , , , , , , , , ","AUGUST EQUITY |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 70 M€    VE:  10 - 100 M€ Secteur:  Santé    BTP / Construction    Telecom    Aéronautique et Défense    Média    Energie et Environnement    Distribution aux Particuliers / Entreprises    Biens de consommation    Technologie    Transport et Logistique    Services aux Particuliers / Entreprises    Automobile    Agroalimentaire    Services Financiers    Internet et e-commerce    Chimie et Matériaux primaires    Industrie Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Suisse - PE specialist,Tous secteurs,UFENAU CAPITAL PARTNERS (UCP) |  Suisse - PE specialist 1 (Majoritaire) Ticket unitaire:  1 - 50 M€    VE:  2 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Portugal    Espagne    Benelux    DACH    Royaume-Uni,,,,,,,,,,,,,,,,,,
Italie - PE specialist,"Tous secteurs, Agroalimentaire, ","RIELLO INVESTIMENTI |  Italie - PE specialist 1 (Mezzanine, Majoritaire) Ticket unitaire:  5 - 10 M€    VE:  30 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Italie 2 (Venture (Growth), Venture, Venture (Serie B/C), Venture (Serie A), Venture (Seed)) Ticket unitaire:  2 - 5 M€    VE:  1 - 10 M€ Secteur:  Agroalimentaire    Technologie Zones géographiques:  Italie",,,,,,,,,,,,,,,,,,
Espagne - Family Office,Tous secteurs,"TORREAL |  Espagne - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  30 - 200 M€    VE:  50 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Toutes zones géographiques",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Energie et Environnement,"DENHAM CAPITAL MANAGEMENT |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  80 - 200 M€    VE:  150 - 800 M€ Secteur:  Energie et Environnement Zones géographiques:  Amérique    Afrique    Asie    Europe",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"FALFURRIAS CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 60 M€    VE:  40 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"PAMLICO CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  30 - 200 M€    VE:  45 - 450 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"COURT SQUARE CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  60 - 300 M€    VE:  150 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Energie et Environnement,"ARCLIGHT CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  40 - 400 M€    VE:  400 - 4 000 M€ Secteur:  Energie et Environnement Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,Tous secteurs,"ANTEA PARTICIPATIES |  Pays-Bas - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  2 - 10 M€    VE:  5 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Pays-Bas",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Biens de consommation,"LION CAPITAL |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  45 - 400 M€    VE:  150 - 900 M€ Secteur:  Biens de consommation Zones géographiques:  Europe    Amérique du Nord",,,,,,,,,,,,,,,,,,
France - PE specialist,"Santé, Services aux Particuliers / Entreprises, ",EKKIO CAPITAL |  France - PE specialist 1 (Majoritaire) Ticket unitaire:  5 - 25 M€    VE:  20 - 200 M€ Secteur:  Santé    Services aux Particuliers / Entreprises    Divertissement / Loisir / Restauration Zones géographiques:  France    Europe de l'Ouest,,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,VAUBAN PARTENAIRES |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  20 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  France,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"EMK CAPITAL |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  25 - 250 M€    VE:  45 - 600 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Luxembourg - PE specialist,Tous secteurs,"PROFINPAR PARTNERS |  Luxembourg - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  2 - 6 M€    VE:  2 - 20 M€ Secteur:  Tous secteurs Zones géographiques:  Luxembourg    France    Belgique",,,,,,,,,,,,,,,,,,
Belgique - Family Office,"Tous secteurs, Tous secteurs",CAPITAL@RENT |  Belgique - Family Office 1 (Mezzanine) Ticket unitaire:  0 - 2 M€    VE:  5 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Benelux 2 (Mezzanine) Ticket unitaire:  3 - 15 M€    VE:  15 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Benelux,,,,,,,,,,,,,,,,,,
Finlande - PE specialist,Tous secteurs,"INTERA PARTNERS |  Finlande - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 100 M€    VE:  30 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie",,,,,,,,,,,,,,,,,,
Suède - PE specialist,"Energie et Environnement, , Energie et Environnement, ","SUMMA EQUITY |  Suède - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 50 M€    VE:  20 - 400 M€ Secteur:  Energie et Environnement    Technologie Zones géographiques:  Europe du Nord 2 (Venture) Ticket unitaire:  10 - 50 M€    VE:  0 - 0 M€ Secteur:  Energie et Environnement    Technologie Zones géographiques:  Europe du Nord",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,Tous secteurs,"BWK |  Allemagne - PE specialist 1 (Majoritaire, Minoritaire, Mezzanine) Ticket unitaire:  5 - 25 M€    VE:  30 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,Tous secteurs,"ELVASTON CAPITAL MANAGEMENT |  Allemagne - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 50 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  DACH",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,"Energie et Environnement, , Energie et Environnement, ",CIPIO PARTNERS |  Allemagne - PE specialist 1 (Minoritaire) Ticket unitaire:  3 - 10 M€    VE:  15 - 100 M€ Secteur:  Energie et Environnement    Technologie Zones géographiques:  Amérique du Nord    Europe de l'Ouest 2 (Venture) Ticket unitaire:  0 - 2 M€    VE:  0 - 0 M€ Secteur:  Energie et Environnement    Technologie Zones géographiques:  Amérique du Nord    Europe de l'Ouest,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,Tous secteurs,"NAZCA CAPITAL |  Espagne - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  7 - 50 M€    VE:  30 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs","AXIO |  France - PE specialist 1 (Minoritaire, Mezzanine) Ticket unitaire:  1 - 10 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  5 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,VERITAS CAPITAL FUND MANAGEMENT |  Etats-Unis - PE specialist 1 (Majoritaire) Ticket unitaire:  80 - 400 M€    VE:  150 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"HGGC |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  80 - 800 M€    VE:  400 - 4 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"LONE STAR FUNDS |  Etats-Unis - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  35 - 350 M€    VE:  80 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord    Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Agroalimentaire, , , , , ","ACTIVE PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  2 - 15 M€    VE:  0 - 100 M€ Secteur:  Agroalimentaire    Distribution aux Particuliers / Entreprises    Biens de consommation    Divertissement / Loisir / Restauration    Internet et e-commerce    Services aux Particuliers / Entreprises Zones géographiques:  Royaume-Uni    Etats-Unis    Europe",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"CAPITEM |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  1 - 5 M€    VE:  4 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Suisse    France    Belgique    Luxembourg",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"GEI |  France - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 20 M€    VE:  10 - 60 M€ Secteur:  Tous secteurs Zones géographiques:  Suisse    France    Belgique    Luxembourg",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs",CITIZEN CAPITAL |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  3 - 7 M€    VE:  0 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Venture) Ticket unitaire:  1 - 5 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Europe,,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Technologie, Services aux Particuliers / Entreprises","HORIZON CAPITAL |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 60 M€    VE:  10 - 150 M€ Secteur:  Technologie    Services aux Particuliers / Entreprises Zones géographiques:  Amérique du Nord    Royaume-Uni    Europe du Nord",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Technologie, Services Financiers, , ","SYNOVA CAPITAL |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  15 - 60 M€    VE:  10 - 70 M€ Secteur:  Technologie    Services Financiers    Santé    Services aux Particuliers / Entreprises Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Suède - PE specialist,Tous secteurs,"PROCURITAS |  Suède - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  10 - 50 M€    VE:  20 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie",,,,,,,,,,,,,,,,,,
Italie - PE specialist,"Tous secteurs, Technologie","FONDO ITALIANO D'INVESTIMENTO |  Italie - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  20 - 50 M€    VE:  10 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Italie 2 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 20 M€    VE:  0 - 10 M€ Secteur:  Technologie Zones géographiques:  Royaume-Uni    Italie",,,,,,,,,,,,,,,,,,
Allemagne - PE specialist,"Tous secteurs, Tous secteurs",LEA PARTNERS |  Allemagne - PE specialist 1 (Majoritaire) Ticket unitaire:  1 - 20 M€    VE:  50 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  Allemagne 2 (Venture) Ticket unitaire:  0 - 5 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Allemagne,,,,,,,,,,,,,,,,,,
Espagne - PE specialist,Tous secteurs,"OQUENDO CAPITAL |  Espagne - PE specialist 1 (Minoritaire, Mezzanine, Unitranche) Ticket unitaire:  5 - 40 M€    VE:  50 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne    Italie    France",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"ALCUIN CAPITAL PARTNERS |  Angleterre - PE specialist 1 (Majoritaire, Minoritaire) Ticket unitaire:  5 - 25 M€    VE:  10 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Finlande - PE specialist,"Technologie, Média, , Technologie, Média, ",3TS CAPITAL PARTNERS |  Finlande - PE specialist 1 (Venture) Ticket unitaire:  0 - 5 M€    VE:  0 - 0 M€ Secteur:  Technologie    Média    Internet et e-commerce Zones géographiques:  Europe Centrale et de l'Est 2 (Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  0 - 20 M€ Secteur:  Technologie    Média    Internet et e-commerce Zones géographiques:  Europe Centrale et de l'Est,,,,,,,,,,,,,,,,,,
Portugal - PE specialist,"Tous secteurs, Technologie","CAIXA CAPITAL |  Portugal - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 50 M€    VE:  50 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Espagne 2 (Venture) Ticket unitaire:  1 - 10 M€    VE:  0 - 0 M€ Secteur:  Technologie Zones géographiques:  Espagne",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"ATLAS HOLDINGS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 80 M€    VE:  80 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Canada - PE specialist,"Services Financiers, , , ",ONEX PARTNERS |  Canada - PE specialist 1 () Ticket unitaire:  150 - 800 M€    VE:  600 - 8 000 M€ Secteur:  Services Financiers    Santé    Services aux Particuliers / Entreprises    Biens de consommation Zones géographiques:  Europe de l'Ouest    Amérique du Nord,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"FLEXPOINT FORD |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 150 M€    VE:  40 - 800 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,"Distribution aux Particuliers / Entreprises, ","VENDIS CAPITAL |  Belgique - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 60 M€    VE:  20 - 200 M€ Secteur:  Distribution aux Particuliers / Entreprises    Biens de consommation Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Pays-Bas - Family Office,Tous secteurs,"31CAPITAL (ex DE HOGE DENNEN CAPITAL) |  Pays-Bas - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 30 M€    VE:  20 - 100 M€ Secteur:  Tous secteurs Zones géographiques:  Pays-Bas",,,,,,,,,,,,,,,,,,
Belgique - Family Office,Tous secteurs,"COBEPA |  Belgique - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  50 - 500 M€    VE:  100 - 1 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
France - Family Office,Tous secteurs,"FLORAC |  France - Family Office 1 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 100 M€    VE:  60 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis    Europe",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"STAGE CAPITAL |  Angleterre - PE specialist 1 (Minoritaire, Venture, Retournement, Majoritaire) Ticket unitaire:  2 - 100 M€    VE:  5 - 45 M€ Secteur:  Tous secteurs Zones géographiques:  Europe Centrale et de l'Est    France    Royaume-Uni",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,Tous secteurs,"MIDEUROPA |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  75 - 200 M€    VE:  100 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe Centrale et de l'Est    Turquie",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,Tous secteurs,"THINK2ACT PARTNERS |  Belgique - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 10 M€    VE:  3 - 50 M€ Secteur:  Tous secteurs Zones géographiques:  Pays-Bas    Belgique",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,"Divertissement / Loisir / Restauration, , , , Technologie, Internet et e-commerce","AXIVATE CAPITAL |  Pays-Bas - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  0 - 5 M€    VE:  10 - 100 M€ Secteur:  Divertissement / Loisir / Restauration    Technologie    Média    Internet et e-commerce Zones géographiques:  Europe de l'Ouest 2 (Venture) Ticket unitaire:  0 - 5 M€    VE:  0 - 0 M€ Secteur:  Technologie    Internet et e-commerce Zones géographiques:  Europe de l'Ouest",,,,,,,,,,,,,,,,,,
Finlande - PE specialist,Tous secteurs,"SENTICA PARTNERS |  Finlande - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 20 M€    VE:  20 - 200 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie",,,,,,,,,,,,,,,,,,
Suède - PE specialist,Tous secteurs,"RATOS |  Suède - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 50 M€    VE:  50 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Scandinavie",,,,,,,,,,,,,,,,,,
France - PE specialist,Tous secteurs,"EUREFI |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 2 M€    VE:  5 - 20 M€ Secteur:  Tous secteurs Zones géographiques:  France    Belgique    Luxembourg",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Industrie, Divertissement / Loisir / Restauration, , ","THREE HILLS CAPITAL PARTNERS (THCP) |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  50 - 150 M€    VE:  50 - 400 M€ Secteur:  Industrie    Divertissement / Loisir / Restauration    Services aux Particuliers / Entreprises    Biens de consommation Zones géographiques:  Europe",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,Tous secteurs,"BOLSTER INVESTMENT PARTNERS |  Pays-Bas - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  7 - 50 M€    VE:  20 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Pays-Bas",,,,,,,,,,,,,,,,,,
Italie - PE specialist,Tous secteurs,AMBIENTA |  Italie - PE specialist 1 (Majoritaire) Ticket unitaire:  30 - 140 M€    VE:  50 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  Europe,,,,,,,,,,,,,,,,,,
Suisse - PE specialist,Tous secteurs,APRÈS-DEMAIN (DEBIOPHARM INVESTMENT) |  Suisse - PE specialist 1 (Minoritaire) Ticket unitaire:  1 - 10 M€    VE:  2 - 250 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest,,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"ALTARIS CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 40 M€    VE:  80 - 400 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Canada - PE specialist,Tous secteurs,"CLAIRVEST GROUP |  Canada - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 70 M€    VE:  35 - 350 M€ Secteur:  Tous secteurs Zones géographiques:  Asie    Europe    Amérique du Nord",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"ARGONAUT PRIVATE EQUITY |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  1 - 400 M€    VE:  10 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Etats-Unis",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"LINDEN CAPITAL PARTNERS |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 40 M€    VE:  10 - 2 000 M€ Secteur:  Tous secteurs Zones géographiques:  Amérique du Nord",,,,,,,,,,,,,,,,,,
Pays-Bas - PE specialist,Tous secteurs,"AVEDON CAPITAL PARTNERS |  Pays-Bas - PE specialist 1 (Mezzanine, Majoritaire, Minoritaire) Ticket unitaire:  10 - 40 M€    VE:  15 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  Allemagne    Pays-Bas    Luxembourg    Belgique",,,,,,,,,,,,,,,,,,
