Nom du conseil,Type de structure,Compétences,Pays siège,Bureaux répertoriés sur Arx,Site internet,Description
Edmond de Rothschild Corporate Finance,Investment Bank,"ECM, M&A, Debt Activity",France,"Madrid, Paris, Genève, Bordeaux, London, Lyon",www.edmond-de-rothschild.com,"Edmond de Rothschild Corporate Finance est la société de conseil en fusion-acquisition du groupe bancaire Edmond de Rothschild, l'une des plus grandes banques privées française. Edrcf intervient notamment sur les opérations de cession, acquisition, introduction en bourse, financement et restructuration. Basée à Paris, Edmond de Rothschild Corporate Finance possède des bureaux à Lyon et à Londres."
Effective Capital,Advisory Boutique,M&A,France,"Paris, Miami",www.effective-capital.com,"Effective Capital est une entreprise de conseil financier qui fournit des services tels que la finance d'entreprise, la structuration immobilière internationale, l'optimisation fiscale et la gestion d'actifs. Elle s'adresse aux entrepreneurs et a été fondée en 2012."
Eight Advisory,Consulting Firm,"Due Diligence, Consultancy",France,"Paris, Rennes, London, Zürich, München, Nantes, Lyon, Köln, Hamburg, Frankfurt am main, Bruxelles",www.8advisory.com,"Eight Advisory est un cabinet de conseil financier et opérationnel spécialisé en Transaction, Restructuration et Transformation. Fondé en 2009, le cabinet accompagne dirigeants, actionnaires, banques et investisseurs potentiels dans leurs décisions. Eight Advisory travaille avec des entreprises de toutes tailles : sociétés familiales, ETI, groupes du CAC 40, multinationales..."
Ekapartners,Investment Bank,M&A,France,Paris,www.ekapartners.eu,"Ekapartners fournit des conseils financiers et stratégiques aux entrepreneurs, aux entreprises et aux actionnaires du monde entier. Basée à Paris, l'entreprise a conseillé plus de 100 transactions pour un montant total de 10 milliards d'euros. Les services comprennent le rapprochement et l'octroi de financement."
Emerton,Consulting Firm,"Consultancy, M&A",France,"Paris, London, Tokyo, New york city, München",www.emerton.co,"Créée en 2011, Emerton est une société mondiale de conseil en stratégie basée à Paris, New York et Tokyo. Le cabinet se concentre sur les secteurs industriels et technologiques. Emerton offre divers services et conseils aux entreprises en matière de fusion et acquisition, de transformation digitale, d'innovation, de marketing et vente, de réglementation ainsi que de performance et transformation."
Enexus,Advisory Boutique,M&A,France,"Abidjan, Paris",www.enexus-finance.com,Enexus Finance propose des services de fusions et acquisitions et de levée de fonds aux entreprises en Afrique. Elle opère à travers un réseau de boutiques régionales et a de l'expérience dans divers secteurs à travers plus de 30 pays africains.
Entrepreneurs & Finance,Advisory Boutique,"Consultancy, M&A",France,"Paris, Bordeaux",www.entrepreneurs.finance,"Entrepreneurs & Finance est une boutique de fusions-acquisitions spécialisée en ingénierie financière. Fondée en 2012 et basée à Paris, la boutique est capable d’intervenir en France, en Europe mais également à l’international. Entrepreneurs & Finance possède un bureau à Bordeaux depuis 2013."
Envestboard CF,Consulting Firm,M&A,France,"Milano, London, Paris",,"EnvestBoard CF est une boutique de conseil indépendante basée à Essen,  en Allemagne. La société fournit des services de conseils en fusions et acquisitions et en finance d'entreprise pour les petites et moyennes entreprises. EnvestBoard possède également des bureaux à Helsinki et à Washington."
EPSA,Consulting Firm,Consultancy,France,"Paris, Philadelphia",www.epsa.com,"Fondé en 2001, EPSA est un cabinet de conseil en performance opérationnel. Il est spécialisé dans les achats indirects et plus particulièrement dans l’univers du travel."
Equideals,Investment Bank,M&A,France,Paris,www.equideals.fr,"Equideals est une société de conseil spécialisée dans les opérations de cession et d'acquisition d'entreprise, les levées de fonds et le retournement d'entreprises. Fondée en 2008 et basée à Paris, elle offre un accompagnement personnalisé aux entrepreneurs et dirigeants de PME, avec une approche adaptée aux besoins et aux contraintes spécifiques de chaque client."
Eurallia Finance,Advisory Boutique,"Consultancy, M&A",France,"Épinal, Nantes, Rennes, Valence, La ciotat, Montpellier, Bordeaux, Nice, Marseille, Paris, Mulhouse, Orléans, Paris, Lyon, Annecy-le-Vieux",www.eurallia.fr,"Basée à Paris, Eurallia Finance est une société de conseils en finance d'entreprise qui accompagne les PME et les PMI dans les opérations de cession, d'acquisition et de levées de fonds. La société possède 18 bureaux partout en France."
Eurallia Finance Montpellier ,Advisory Boutique,,France,Montpellier,,"Eurallia Finance est une société de conseils en finance d'entreprise qui accompagne les PME et les PMI dans les opérations de cession, d'acquisition et de levées de fonds"
Eurocif,Advisory Boutique,"Due Diligence, Consultancy, M&A",France,Paris,www.eurocif.fr,"Basé à Paris, Eurocif est un cabinet de conseil financier spécialisé dans les services stratégiques et transactionnels (évaluation d'entreprise, attestation d'équité, évaluation de préjudices, communication/ESG)."
Euro Latina Finance,Advisory Boutique,M&A,France,"Paris, Sao paulo",eurolatinafinance.com,"Fondée en 2010 et basée à Paris, Euro Latina Finance est une société de conseil en fusion acquisition possédant une expertise sur les opérations crossborder entre la France et l'Amérique Latine, en particulier vers le Brésil et la Colombie. 
"
Europefa Partenaires,Advisory Boutique,M&A,France,Paris,,"Europefa Partenaires est un cabinet de conseil en fusions et acquisitions basé à Paris, spécialisé principalement dans les opérations transfrontalières pour les petites et moyennes entreprises."
Eurvad Finance,Advisory Boutique,M&A,France,Paris,www.eurvad.com,"Fondée en 2009, Eurvad Finance est une société de conseil en finance d'entreprise basée à Paris. Elle propose des services de conseil en fusions-acquisitions, vente, gestion des opérations de financement des entreprises et levée de fonds, destinés à des entreprises à des petites et moyennes capitalisations."
EVALTEAM,Advisory Boutique,M&A,France,Paris,www.evalteam.fr,EVALTEAM est une société de conseil en fusion-acquisition basée à Paris en France. Elle est spécialisée dans la valorisation et cession d'entreprise.
FIG Partners,Advisory Boutique,M&A,France,Paris,www.fig-partners.com,"Créée en 2020 et basée à Paris, Fig Partners est une boutique de fusion-acquisition spécialisée dans le secteur financier. "
Financière de Courcelles,Investment Bank,M&A,France,"Casablanca, Paris",www.financieredecourcelles.fr,"Basée à Paris, Financière de Courcelles est une banque conseil en fusion-acquisition et est un membre créateur du réseau Global M&A Partners. Financière de Courcelles est une banque généraliste pouvant intervenir sur différents secteurs d'activité."
Finegan,Consulting Firm,"Due Diligence, Consultancy",France,Paris,finegan.fr,"Présent en France, au Luxembourg ainsi qu’au Royaume-Uni, Finegan conseille les équipes dirigeantes du monde financier dans leurs prises de décisions et dans la mise en œuvre de leurs projets tant stratégiques qu'opérationnels."
Finergreen,Advisory Boutique,M&A,France,"Nairobi, Budapest, Bucharest, Cape Town, Paris, Dubai, Madrid, Singapore, London, São Paulo, Mexico City, Abidjan",www.finergreen.com,"Finergreen est une boutique mondiale de fusions et acquisitions créée en 2013. Elle fournit des services dans la transition énergétique et le développement durable, y compris les fusions et acquisitions, le financement de projets, le conseil stratégique et le conseil en prise de participation."
Forex Finance,Consulting Firm,Consultancy,France,Paris,www.forexfinance.com,"Forex Finance est un cabinet de conseils spécialisé dans la gestion des risques financiers et dans l’organisation de la fonction trésorerie.

Fort d’une approche différenciante de la gestion des risques, de l’expertise technique de ses équipes et de
ses propres systèmes, Forex Finance accompagne 250 clients, dont 180 cotés et 10 dans le CAC 40, dans la
gestion quotidienne de leurs risques financiers (change, taux d'intérêt, matières premières).

L’approche de gestion de Forex Finance est adaptée aux enjeux spécifiques de chacun des métiers et garantit une maîtrise des risques financiers de l’entreprise. 
Au cœur de cette approche, Forex Finance a développé une relation client personnalisée, chaque compte étant suivi par un conseiller dédié. Ce dernier, au-delà de la réalisation d’une prestation purement technique, assiste le client dans ses décisions, pour sa gestion quotidienne comme pour ses projets spécifiques.

"
Franklin,Law Firm,Lawyer,France,Paris,www.franklin-paris.com,"Franklin Société d'avocats est un cabinet d'avocats à service complet qui intervient dans les trasactions de fusions, d'acquisitions, d'investissements privés et d'acquisitions d'entreprises."
 Galite Partners,Consulting Firm,"Consultancy, Debt Activity, M&A",France,Paris,www.galite.com,"Galite Partners est une entreprise spécialisée dans le conseil financier, se concentrant sur les solutions d'investissement, les stratégies de financement et la finance d'entreprise. Elle conseille ses clients en gestion d'actifs, financement de projets et défis financiers complexes. L'expertise de l'entreprise comprend les marchés de la dette, les prêts syndiqués, les émissions d'obligations et la dette privée. Elle assiste également les entreprises dans la gestion financière, la trésorerie et les fusions et acquisitions, notamment dans des environnements réglementés."
GermainMaureau (Germain & Maureau),Consulting Firm,Consultancy,France,Lyon,www.germainmaureau.com,"GermainMaureau (Germain & Maureau) fournit des conseils en propriété intellectuelle, y compris des audits et des outils de comparaison de coûts pour les brevets."
Gimar & Co,Investment Bank,M&A,France,Paris,www.gimar-cie.com,"Basée à Paris et créée en 1999 sous le nom Gimar Finance, Gimar & Cie est une boutique spécialisée dans le conseil en fusion et acquisition. Gimar & Cie possède une expertise particulière dans les métiers des Services Financiers, de l'Immobilier, des Infrastructures, des Télécommunications, Médias & Technologies, du Transport et de l'Industrie."
Good Founders,Advisory Boutique,"Consultancy, M&A",France,Toulouse,goodfounders.net,"Good Founders est un cabinet de conseils financiers fondé en 2014 et basé à Toulouse. Good Founders intervient dans le cadre d'opérations de levée de fonds, de restructuration de capital et de M&A. Good Founders propose d'autres services de conseil notamment en transformation digitale et agilité."
Grassfields Ventures,Advisory Boutique,"Consultancy, M&A, Debt Activity",France,"Paris, Paris",www.grassfieldsventures.com,"Grassfields Ventures est un cabinet de conseil en investissements, levée de fonds et financement axé sur l'Afrique et les opportunités africaines. Ses expertises sectoriels vont de l'agribusiness à l'immobilier en passant par la technologie et le tourisme. Le cabinet est basé à Paris."
